loss,val_loss,accuracy,f1,val_accuracy,val_f1,lr
2.1937175783533336,1.2899822563481478,0.3658536672592163,0.3658536672592163,0.700423538684845,0.700423538684845,0.001
1.2080658583670427,0.8268329687645098,0.6376123428344727,0.6376123428344727,0.7918752431869507,0.7918752431869507,0.001
0.9151579098779807,0.5964401951231109,0.7075096368789673,0.7075096368789673,0.8521370887756348,0.8521370887756348,0.001
0.7655977856451971,0.4703844861567386,0.7485237717628479,0.7485237717628479,0.8673469424247742,0.8673469424247742,0.001
0.6754233211707286,0.41113155486027886,0.7795250415802002,0.7795250415802002,0.8902580142021179,0.8902580142021179,0.001
0.6229202003816804,0.3374539142920196,0.7915917634963989,0.7915917634963989,0.9224104881286621,0.9224104881286621,0.001
0.5822305312452865,0.33327569369158133,0.8051989674568176,0.8051989674568176,0.9218328595161438,0.9218328595161438,0.001
0.5632018915375645,0.2914538846516902,0.8096919059753418,0.8096919059753418,0.9262610673904419,0.9262610673904419,0.001
0.5452189652643165,0.3499059468690603,0.8162387609481812,0.8162387609481812,0.8892953395843506,0.8892953395843506,0.001
0.5189674404857095,0.26835892957412394,0.8238767385482788,0.8238767385482788,0.9320369362831116,0.9320369362831116,0.001
0.4801242952474089,0.24067243536008648,0.8396662473678589,0.8396662473678589,0.9455140829086304,0.9455140829086304,0.0001
0.47076581042160487,0.24142877012491226,0.8434531688690186,0.8434531688690186,0.9462841749191284,0.9462841749191284,0.0001
0.4698218686135153,0.23687572822980354,0.8422977924346924,0.8422977924346924,0.950519859790802,0.950519859790802,0.0001
0.46371207618799054,0.23155322579518417,0.8451861143112183,0.8451861143112183,0.9501347541809082,0.9501347541809082,0.0001
0.46371349673985945,0.23011122625663968,0.8482670187950134,0.8482670187950134,0.9474393725395203,0.9474393725395203,0.0001
0.45554147383821575,0.22608326457760816,0.8486521244049072,0.8486521244049072,0.9543704390525818,0.9543704390525818,0.0001
0.45517981808165997,0.23102883363793963,0.8476251363754272,0.8476251363754272,0.9482094645500183,0.9482094645500183,0.0001
0.4564771643654277,0.2278301702595196,0.8488446474075317,0.8488446474075317,0.9478244185447693,0.9478244185447693,0.0001
0.45129899230825826,0.22411026348548432,0.8532092571258545,0.8532092571258545,0.9528301954269409,0.9528301954269409,0.0001
0.45531534444869665,0.2240264574808577,0.849550724029541,0.849550724029541,0.950904905796051,0.950904905796051,0.0001
0.4464037464262279,0.22247764235076728,0.8538510799407959,0.8538510799407959,0.9518675208091736,0.9518675208091736,1e-05
0.4472577082914983,0.22721148775947606,0.8521822690963745,0.8521822690963745,0.9489796161651611,0.9489796161651611,1e-05
0.44099254145820527,0.22257481323429412,0.8556482791900635,0.8556482791900635,0.9516749978065491,0.9516749978065491,1e-05
0.44633549488545443,0.22235694239658813,0.8505776524543762,0.8505776524543762,0.9522526264190674,0.9522526264190674,1e-05
0.45824076204696473,0.2217689268062451,0.8492939472198486,0.8492939472198486,0.9534077644348145,0.9534077644348145,1e-05
0.44283237805479114,0.22211103072744207,0.8521822690963745,0.8521822690963745,0.9507123827934265,0.9507123827934265,1e-05
0.45360124671116503,0.2217990849738472,0.8489088416099548,0.8489088416099548,0.9534077644348145,0.9534077644348145,1e-05
0.4423876403844332,0.21917738843183576,0.8556482791900635,0.8556482791900635,0.9539853930473328,0.9539853930473328,1e-05
0.44606871505170387,0.2209546343863376,0.8473042249679565,0.8473042249679565,0.9516749978065491,0.9516749978065491,1e-05
0.4510612157947963,0.22192642270970198,0.8477535247802734,0.8477535247802734,0.950519859790802,0.950519859790802,1e-05
0.44320375293309683,0.2187130364812225,0.8536585569381714,0.8536585569381714,0.953600287437439,0.953600287437439,1.0000000000000002e-06
0.4484074143903211,0.22098500386703235,0.8522464632987976,0.8522464632987976,0.950519859790802,0.950519859790802,1.0000000000000002e-06
0.4526328275886649,0.22392943812294241,0.8517971634864807,0.8517971634864807,0.950519859790802,0.950519859790802,1.0000000000000002e-06
0.4534176552258967,0.2176010668094904,0.8516046404838562,0.8516046404838562,0.9547554850578308,0.9547554850578308,1.0000000000000002e-06
0.4486436668546293,0.21920335173972547,0.8503851294517517,0.8503851294517517,0.9532152414321899,0.9532152414321899,1.0000000000000002e-06
0.44266650683458825,0.2210940448510135,0.8540436625480652,0.8540436625480652,0.9510974287986755,0.9510974287986755,1.0000000000000002e-06
0.4557154617392796,0.22624758461867372,0.8493581414222717,0.8493581414222717,0.9499422311782837,0.9499422311782837,1.0000000000000002e-06
0.4382267746408862,0.22025005793644606,0.8566752076148987,0.8566752076148987,0.9518675208091736,0.9518675208091736,1.0000000000000002e-06
0.44715731500722544,0.2200773005013817,0.8516046404838562,0.8516046404838562,0.9561032056808472,0.9561032056808472,1.0000000000000002e-06
